3,0,1,1,2,2
3,1,0,2,2,3
3,0,1,1,3,3
5,0,1,2,3,4
5,1,1,2,3,5
6,0,2,2,4,5
7,1,1,3,4,6
8,1,2,3,4,7
9,1,2,3,5,7
10,1,2,4,6,8
11,1,3,4,6,9
12,1,3,5,7,10
13,1,3,5,8,10
15,1,3,6,8,12
15,2,4,6,9,12
17,2,4,6,10,14
19,2,4,7,11,15
20,2,5,7,12,16
21,3,4,9,12,17
23,2,5,9,13,19
24,3,5,9,14,20
26,2,6,10,15,22
28,3,6,11,16,22
30,3,7,11,17,24
31,3,7,12,18,26
33,3,8,12,19,28
35,3,8,14,20,29
37,4,8,14,22,30
39,4,9,15,22,32
41,4,9,16,23,34
43,4,10,17,24,35
45,5,10,18,25,37
48,5,10,18,27,38
50,5,11,19,28,40
52,6,12,20,30,44
55,6,12,22,31,44
58,6,12,22,33,46
61,6,13,23,34,48
64,6,14,24,36,50
64,7,15,25,40,54
67,6,14,26,38,55
70,7,16,27,40,57
73,7,16,27,42,59
75,7,17,29,43,62
78,8,18,30,45,64
81,8,17,31,45,68
86,9,19,33,48,74
90,9,20,35,51,74
91,10,20,35,56,78
100,11,24,41,59,81
103,10,22,38,55,81
101,10,23,39,58,82
103,11,23,39,59,89
108,11,24,44,62,91
116,14,26,48,66,95
119,13,27,47,69,99
121,12,26,45,68,97
123,12,28,48,69,100
126,14,31,49,71,102
128,14,30,51,74,105
136,14,30,53,75,108
139,14,30,54,79,112
141,14,32,55,83,117
147,15,33,57,85,120
151,18,38,58,84,124
158,18,37,58,85,124
160,17,37,64,88,126
162,17,38,62,92,133
165,17,37,64,95,138
175,19,39,68,100,141
175,19,39,69,102,145
181,19,41,70,102,148
186,19,41,72,103,148
188,21,43,73,109,155
195,21,44,77,112,156
196,19,43,75,113,162
202,22,47,77,116,167
207,22,48,80,120,171
211,22,47,81,119,171
212,22,50,82,121,175
218,24,49,84,127,183
226,23,53,89,128,184
229,24,52,88,131,188
234,24,52,96,133,190
239,25,55,93,138,195
243,27,55,95,138,199
249,26,56,97,142,202
254,27,59,99,147,213
260,30,59,100,151,214
265,30,59,103,159,219
269,28,61,105,154,222
274,29,63,109,157,229
279,31,65,114,164,232
288,32,65,112,166,236
293,33,68,119,167,241
296,34,71,120,173,249
300,33,69,118,176,250
311,34,73,122,179,263
314,37,73,124,181,259
319,35,75,126,187,270
328,37,82,136,188,269
331,37,79,135,194,278
339,37,79,135,199,286
344,39,83,138,200,288
350,39,83,141,204,293
363,40,84,142,207,297
361,41,86,144,211,308
369,42,90,147,215,308
372,43,89,155,218,312
381,44,91,153,222,321
387,44,93,157,226,327
394,44,95,159,232,331
401,46,98,165,238,336
408,47,98,166,242,349
414,48,101,169,246,353
419,49,102,170,255,360
429,52,110,183,257,365
435,51,106,177,257,368
442,52,111,181,264,370
449,52,110,184,268,377
456,54,112,186,275,388
464,56,114,191,276,402
498,59,124,204,296,413
499,61,124,210,299,428
492,58,127,204,294,418
496,60,124,204,300,439
505,60,128,210,301,423
508,60,125,206,311,432
525,62,127,214,308,459
543,61,129,217,313,450
531,63,132,215,315,461
532,63,133,227,320,457
539,64,136,230,327,467
545,66,149,229,328,474
574,70,141,229,336,478
561,68,141,236,353,485
568,69,143,236,343,493
579,70,145,240,348,498
589,71,147,244,353,508
595,76,150,251,361,517
603,74,153,253,364,521
614,77,157,254,369,531
618,76,158,259,375,535
626,77,160,266,381,541
637,78,163,268,388,552
647,81,169,269,392,560
655,80,165,273,398,570
659,82,169,280,413,578
669,84,169,282,410,585
676,83,172,285,416,591
681,84,174,289,418,605
692,86,178,295,424,603
700,86,181,296,434,621
730,90,183,300,432,658
750,90,187,308,445,635
739,91,189,312,450,646
736,91,190,315,455,646
745,94,192,322,460,647
754,96,194,322,467,663
762,96,198,326,474,665
773,96,199,329,477,681
783,98,202,333,484,692
802,99,204,337,488,692
801,100,207,342,496,702
813,103,209,345,499,713
815,103,211,351,513,725
822,104,214,353,515,723
838,107,219,363,527,741
847,107,222,365,528,744
853,109,221,367,530,757
864,109,224,372,538,772
874,111,227,383,544,775
885,113,235,387,558,782
892,114,232,387,555,790
901,115,236,391,567,806
921,118,258,394,570,839
939,119,246,402,582,836
939,120,245,417,584,834
945,120,251,407,601,845
969,121,256,418,601,846
967,126,258,416,601,864
983,125,255,421,613,867
981,126,259,426,618,876
1002,128,261,432,627,899
1003,130,266,437,633,903
1025,130,266,440,639,917
1032,131,272,446,650,910
1036,134,280,449,654,928
1050,134,274,455,660,937
1065,136,281,461,666,945
1074,140,283,469,691,960
1088,138,285,471,679,968
1091,141,291,477,690,995
1149,147,315,497,704,1016
1136,145,296,491,710,1004
1126,145,297,494,706,1014
1139,147,302,497,718,1017
1150,148,305,506,730,1027
1159,150,306,510,751,1043
1187,154,314,512,741,1052
1192,155,314,518,750,1056
1202,158,319,523,755,1076
1205,159,320,530,767,1083
1227,162,323,533,766,1103
1224,160,327,536,780,1103
1235,161,332,568,788,1113
1257,163,336,552,798,1130
1270,166,340,558,802,1161
1319,173,356,581,842,1178
1290,169,344,566,824,1154
1298,169,346,570,825,1168
1310,169,349,575,829,1179
1328,172,355,583,839,1187
1343,173,359,593,847,1197
1346,176,360,599,856,1219
1359,176,361,600,864,1224
1368,179,369,604,871,1233
1378,180,370,608,879,1250
1392,182,373,616,897,1258
1417,184,381,627,902,1261
1408,185,381,630,904,1327
1479,191,390,642,914,1300
1462,189,387,640,931,1312
1463,189,392,644,929,1317
1467,194,398,651,948,1327
1510,194,428,705,942,1329
1487,195,401,658,965,1349
1503,196,403,665,961,1350
1518,198,410,680,967,1371
1528,207,414,681,976,1383
1539,203,416,680,992,1402
1559,205,424,692,1001,1409
1581,208,428,729,1009,1451
1598,217,437,734,1031,1463
1644,212,435,715,1025,1459
1623,214,438,720,1043,1476
1654,213,438,720,1034,1470
1630,216,441,731,1043,1476
1652,217,445,734,1061,1492
1661,220,449,739,1067,1525
1673,221,454,745,1077,1532
1695,223,455,755,1096,1535
1697,225,466,764,1102,1590
1771,232,470,766,1110,1560
1728,228,468,769,1111,1573
1744,230,471,773,1113,1586
1742,230,476,779,1124,1589
1757,233,479,794,1133,1601
1783,235,485,791,1147,1614
1785,238,487,799,1151,1632
1813,239,491,805,1163,1644
1823,241,493,809,1172,1661
1837,245,508,849,1246,1711
1896,248,503,827,1191,1688
1873,249,508,840,1193,1692
1876,248,510,833,1206,1730
1884,249,513,842,1220,1719
1908,253,518,853,1230,1743
1910,257,521,853,1235,1746
1933,256,526,863,1239,1764
1945,258,531,873,1258,1786
1994,269,553,886,1279,1825
1986,262,540,885,1281,1813
1990,265,543,890,1290,1817
2003,266,546,903,1293,1833
2011,269,551,916,1308,1848
2035,270,555,910,1315,1852
2038,273,557,913,1321,1883
2067,276,564,922,1335,1882
2085,280,575,950,1388,1912
2087,278,572,936,1351,1920
2105,279,574,944,1371,1929
2120,283,577,954,1370,1936
2138,284,584,959,1382,1956
2150,285,587,963,1395,1972
2157,290,594,972,1400,1983
2185,290,596,983,1420,2007
2190,293,603,991,1445,2048
2214,299,614,1002,1447,2063
2252,301,611,1006,1452,2056
2263,302,625,1020,1469,2066
2274,303,625,1023,1495,2087
2290,306,631,1030,1484,2093
2334,312,628,1029,1491,2097
2319,307,632,1035,1488,2117
2360,310,647,1054,1512,2123
2358,314,640,1048,1519,2141
2357,314,646,1058,1525,2160
2371,316,653,1062,1539,2161
2405,319,654,1070,1540,2180
2399,322,655,1077,1555,2203
2415,322,666,1088,1565,2205
2421,328,671,1138,1604,2269
2461,336,693,1107,1608,2258
2474,332,675,1108,1600,2260
2478,332,681,1120,1608,2279
2498,340,687,1128,1621,2294
2511,337,692,1138,1642,2319
2536,342,695,1143,1645,2328
2537,346,706,1171,1698,2348
2560,343,708,1162,1662,2355
2583,346,709,1156,1675,2374
2597,350,718,1172,1688,2386
2624,351,721,1177,1690,2406
2627,352,724,1186,1709,2412
2656,354,728,1196,1719,2431
2720,368,737,1207,1749,2454
2679,358,732,1209,1749,2468
2700,359,741,1214,1751,2486
2714,364,751,1239,1785,2529
2739,365,748,1234,1781,2506
2761,372,756,1240,1789,2528
2754,371,766,1284,1875,2554
2794,392,768,1260,1822,2571
2811,376,772,1279,1822,2575
2826,378,777,1276,1848,2591
2830,381,782,1280,1848,2656
2928,410,795,1308,1881,2682
2892,390,799,1321,1935,2744
2989,393,820,1343,1928,2693
2935,393,812,1330,1915,2702
