2,2,1,2,1
2,2,2,2,2
2,3,2,2,2
3,3,2,3,3
3,3,3,3,3
4,3,4,3,4
4,4,4,4,4
5,4,5,4,5
5,5,5,5,5
6,6,5,5,6
7,6,6,6,6
7,7,7,6,6
8,8,7,8,7
10,8,8,8,8
10,9,8,9,9
10,10,9,10,9
11,10,10,10,10
12,11,11,11,11
13,12,12,12,12
14,12,13,13,13
15,13,14,14,13
16,14,14,15,15
17,16,15,16,16
18,17,17,16,17
19,18,18,17,17
21,18,19,19,19
21,20,19,20,20
23,21,20,20,21
24,22,21,21,22
25,23,23,22,22
27,24,24,24,24
28,26,25,25,25
30,27,27,27,26
31,28,28,28,28
32,30,30,30,29
34,32,31,31,30
36,33,33,32,32
37,40,43,38,33
38,35,35,36,35
40,37,38,37,36
42,40,39,39,42
48,47,43,42,40
47,42,43,42,41
48,44,45,43,44
50,46,45,50,45
52,48,47,48,47
54,49,49,50,50
56,51,51,52,53
57,54,53,55,55
72,68,59,57,57
63,61,60,60,58
66,61,60,62,61
70,65,62,65,63
71,65,64,66,64
72,68,66,68,71
75,70,71,76,72
79,73,81,71,72
80,73,76,79,74
83,77,76,77,76
85,79,77,79,78
88,82,82,81,82
89,85,84,84,85
92,89,86,88,89
97,89,90,88,91
100,95,96,91,91
102,97,94,96,97
104,99,98,97,99
107,108,106,102,116
124,119,116,112,107
121,109,108,110,105
119,110,114,119,124
124,127,124,116,118
136,114,115,117,119
135,117,120,116,120
129,122,123,120,123
133,131,127,134,144
135,130,136,131,132
141,137,136,131,137
150,153,148,143,135
144,141,139,140,137
150,151,149,154,144
159,155,156,146,153
159,153,150,152,150
162,153,154,154,153
164,165,158,159,161
169,165,160,161,162
172,176,174,180,177
179,175,176,169,168
175,174,184,177,179
187,183,184,182,181
191,197,178,187,187
191,193,188,192,186
199,196,195,190,186
199,197,193,200,199
206,199,193,197,194
204,210,203,208,200
208,207,204,204,212
215,208,215,210,210
224,217,211,212,215
224,223,217,216,221
235,226,223,234,226
232,238,226,232,235
237,239,230,234,230
236,238,241,243,243
244,252,241,242,243
258,250,246,250,246
256,264,270,263,266
265,258,279,254,257
264,264,277,263,272
270,272,269,266,264
274,276,275,274,277
283,290,292,284,282
295,292,289,284,284
287,290,289,287,290
287,294,296,302,295
296,304,292,302,304
299,314,296,307,302
305,311,320,328,318
316,318,311,327,328
310,322,317,323,327
325,325,332,351,327
330,343,336,342,359
362,348,351,346,363
382,371,359,368,355
350,369,374,373,351
348,368,358,361,364
359,368,367,359,365
358,379,364,367,364
359,407,374,376,383
373,386,376,379,372
377,387,383,376,387
383,392,386,391,398
377,400,390,385,386
381,394,406,397,393
409,406,404,396,391
393,406,406,407,410
403,417,416,418,411
404,422,422,419,429
406,428,431,429,430
440,439,435,434,433
427,442,443,435,444
427,472,442,449,444
430,459,453,454,455
444,471,457,463,471
450,484,497,473,473
450,475,469,466,469
456,490,488,495,499
479,481,481,478,496
472,490,496,504,496
491,573,543,503,532
524,537,517,506,506
492,531,519,511,532
512,538,548,560,563
528,557,522,536,558
510,534,525,539,530
512,548,548,558,546
517,578,557,544,545
525,584,560,552,562
531,583,578,564,576
547,574,586,569,576
550,598,597,574,569
547,595,585,598,576
582,597,589,595,597
624,618,604,603,607
587,623,634,616,612
574,622,623,620,622
575,634,665,645,654
592,652,634,647,649
597,639,630,632,646
600,655,668,689,647
667,690,650,659,671
630,683,687,682,667
627,688,691,667,669
653,719,679,681,674
644,689,686,696,685
645,703,693,690,711
658,717,709,718,703
664,720,718,704,715
673,747,707,715,720
677,747,727,728,723
692,768,735,739,764
689,758,751,758,746
706,761,752,743,748
706,773,756,749,755
711,793,784,769,792
711,785,776,774,774
755,839,798,828,806
733,822,808,800,824
755,825,816,809,795
746,834,883,872,861
765,834,857,883,824
776,841,866,828,861
784,872,839,864,838
783,872,866,853,910
808,894,871,870,860
804,928,899,920,920
850,919,878,886,894
814,893,886,885,875
813,923,904,891,893
836,927,905,917,932
841,999,921,964,967
844,933,924,921,947
858,961,927,936,941
861,967,942,945,943
867,981,954,958,960
907,1009,985,987,991
896,981,964,984,961
903,1001,982,967,990
923,1023,1024,992,997
917,1035,988,1003,987
930,1039,1026,1006,1041
952,1037,1014,1013,1006
938,1088,1089,1042,1095
943,1055,1049,1041,1033
960,1071,1050,1093,1148
1002,1151,1083,1159,1069
989,1150,1097,1100,1180
996,1124,1129,1135,1106
1003,1165,1143,1107,1115
1006,1159,1137,1127,1151
1011,1186,1140,1184,1134
1049,1139,1231,1207,1179
1052,1191,1187,1187,1218
1056,1363,1290,1254,1177
1065,1240,1186,1151,1180
1093,1213,1197,1153,1174
1064,1226,1165,1212,1180
1110,1208,1230,1225,1208
1106,1265,1284,1297,1246
1102,1264,1224,1218,1229
1145,1285,1237,1228,1293
1143,1319,1318,1298,1313
1157,1320,1247,1285,1303
1181,1400,1266,1309,1339
1218,1365,1320,1261,1273
1169,1311,1254,1271,1270
1137,1312,1277,1268,1311
1175,1318,1345,1288,1326
1187,1331,1322,1416,1318
1176,1370,1338,1316,1336
1194,1405,1337,1336,1314
1198,1389,1328,1350,1342
1216,1483,1462,1425,1385
1244,1448,1442,1459,1433
1258,1533,1479,1394,1422
1234,1472,1395,1422,1420
1315,1477,1465,1575,1503
1273,1486,1430,1415,1434
1273,1516,1487,1413,1442
1295,1487,1525,1483,1478
1298,1526,1588,1594,1541
1330,1577,1579,1532,1513
1343,1527,1495,1613,1517
1313,1695,1516,1523,1537
1355,1575,1553,1658,1574
1341,1624,1612,1578,1543
1370,1589,1574,1520,1530
1374,1595,1556,1546,1558
1397,1742,1726,1610,1616
1411,1648,1688,1560,1602
1405,1665,1608,1652,1560
1409,1703,1608,1624,1629
1416,1680,1725,1712,1690
1432,1703,1672,1614,1679
1436,1678,1656,1657,1624
1471,1696,1650,1798,1885
1490,1968,1818,1725,1853
1475,1723,1667,1726,1789
1469,1768,1697,1762,1728
1512,1925,1820,1737,1741
1497,1865,1872,1735,1730
1501,1785,1769,1793,1700
1504,1770,1885,1984,1831
1599,1841,1791,1798,1802
1571,1830,1772,1739,1729
1532,1827,1785,1800,1902
1636,1898,1806,1791,1843
1566,1911,1848,1797,1923
1575,1883,1855,1963,2071
1671,2021,2001,1933,1831
1616,1882,1898,1968,1917
1656,1987,1940,1885,1847
1657,1988,1889,1902,1848
1673,1885,1945,1903,1861
1681,1940,1929,1933,2117
1735,1985,1925,2018,1954
1768,2087,2010,2098,2003
1713,2113,2100,2131,2136
1737,2109,2067,2056,2026
1704,2031,2055,1952,2015
1738,2158,2119,2220,2090
