3,2,3,2,3
2,3,4,3,4
4,4,4,5,5
5,6,4,4,4
4,5,4,5,5
5,5,5,7,5
5,6,7,6,6
6,7,7,6,7
7,8,8,7,8
8,9,8,9,8
9,10,9,11,10
10,10,10,12,14
12,11,12,12,11
12,19,20,20,19
14,14,13,22,16
14,16,16,16,16
16,17,16,17,17
17,19,18,18,18
18,19,19,19,19
19,20,21,20,21
21,23,22,22,22
22,24,24,28,26
35,26,25,25,25
25,27,27,27,27
27,29,29,29,29
30,31,31,31,31
31,33,34,34,33
33,35,36,34,35
35,37,37,37,37
37,39,39,39,39
38,41,41,41,41
42,43,44,44,44
46,47,51,55,46
51,49,50,52,49
48,51,52,51,51
51,54,53,54,54
54,56,57,62,56
56,59,59,60,59
59,62,64,63,64
64,66,67,68,66
64,69,68,69,68
68,71,70,72,71
73,75,74,76,76
75,78,81,78,78
79,80,81,81,81
80,85,85,84,86
85,88,89,88,89
90,96,92,93,92
93,100,103,95,96
96,99,100,100,99
99,103,103,105,104
103,108,107,108,107
109,112,111,112,115
124,115,118,116,116
114,119,122,119,120
117,127,123,125,125
125,130,127,130,135
131,139,133,139,136
134,138,135,137,162
136,144,142,143,143
143,148,147,147,148
144,151,158,155,152
165,154,155,156,155
156,160,170,161,162
161,177,165,167,167
165,173,173,170,174
172,178,183,181,176
189,186,186,190,194
182,187,192,193,206
192,194,212,210,226
211,203,209,204,201
201,203,220,206,208
213,208,208,210,208
206,222,230,216,215
225,235,236,237,232
236,236,248,236,242
227,241,236,253,246
246,249,248,251,246
238,244,247,250,251
252,269,262,262,256
249,256,256,258,258
253,263,263,261,261
261,269,265,272,267
267,276,278,277,278
300,309,342,326,314
293,325,367,342,323
315,301,319,315,297
295,321,318,313,324
320,323,317,329,325
330,335,335,334,330
323,340,337,321,325
327,341,339,339,346
329,351,341,347,372
347,350,356,352,347
341,355,361,357,368
354,361,369,362,359
354,364,379,395,388
386,396,380,381,377
369,385,392,385,382
382,393,391,392,405
395,397,404,395,400
403,404,405,406,411
413,424,446,430,413
412,421,423,428,436
417,432,433,429,441
427,440,442,442,444
437,448,465,455,451
452,460,458,467,459
450,478,463,462,466
458,476,471,479,473
466,478,491,513,488
481,495,496,498,494
482,498,519,497,500
499,540,509,510,578
602,537,566,599,594
536,542,535,544,583
534,558,545,543,534
529,553,552,546,555
555,552,559,552,556
562,578,589,562,566
556,570,584,586,573
564,583,579,589,584
577,604,606,592,600
589,605,605,600,646
599,618,615,607,647
661,627,628,619,618
619,636,641,635,656
622,650,647,651,652
691,659,655,662,673
648,701,687,674,676
653,670,674,668,668
659,684,683,680,675
669,687,691,689,705
687,717,814,705,731
733,730,730,715,718
709,726,736,767,721
729,742,741,756,747
729,744,751,744,744
741,787,764,751,752
747,767,766,772,763
753,775,773,776,778
763,783,782,792,795
781,825,795,803,807
783,812,818,808,808
802,825,853,870,815
803,843,837,838,825
818,841,843,866,848
841,853,857,862,867
862,905,1107,989,957
890,903,945,886,939
909,896,903,907,942
910,911,918,922,914
904,946,925,942,950
912,937,937,925,933
941,941,935,935,943
926,957,959,948,948
933,975,964,968,963
946,992,971,1073,980
969,1005,985,1032,1010
992,1000,1026,1016,1020
991,1018,1072,1027,1142
1052,1134,1058,1062,1078
1068,1078,1093,1056,1047
1027,1058,1101,1100,1108
1070,1117,1064,1067,1089
1044,1071,1075,1120,1081
1070,1163,1117,1120,1103
1073,1102,1131,1123,1109
1096,1104,1121,1129,1131
1096,1157,1193,1170,1148
1157,1177,1185,1194,1143
1128,1169,1190,1287,1312
1320,1277,1266,1286,1242
1215,1205,1237,1239,1208
1211,1261,1303,1294,1289
1187,1231,1227,1237,1267
1232,1272,1237,1403,1309
1364,1345,1363,1394,1414
1347,1426,1434,1388,1479
1313,1389,1386,1366,1379
1252,1311,1343,1427,1417
1494,1426,1491,1417,1489
1335,1312,1343,1383,1456
1406,1394,1433,1429,1423
1383,1423,1481,1482,1442
1454,1485,1400,1368,1356
1320,1358,1368,1374,1384
1411,1455,1404,1412,1405
1385,1444,1434,1461,1481
1526,1670,1493,1517,1461
1449,1444,1424,1456,1495
1450,1442,1448,1433,1453
1424,1452,1475,1456,1465
1443,1479,1487,1474,1472
1456,1476,1483,1481,1490
1459,1513,1514,1537,1503
1474,1512,1577,1739,1670
1550,1639,1654,1597,1627
1583,1679,1790,1819,1725
1696,1720,1740,1744,1742
1726,1790,1794,1755,1764
1747,1788,1785,1771,1783
1739,1711,1606,1604,1606
1580,1707,1825,1761,1936
1906,1915,1950,1985,1965
1922,1939,1954,1832,1822
1771,1857,1829,1818,1841
1803,1835,1686,1689,1707
1695,1702,1711,1710,1725
1685,1722,1846,1825,1777
1704,1756,1749,1732,1768
1759,1786,1809,1740,1756
1711,1776,1774,1772,1767
1743,1802,1799,1856,1793
1764,1814,1817,1831,1899
1802,1853,1826,1818,1815
1790,1943,1908,1885,1928
1802,1900,1854,1984,1913
1829,1851,1897,1868,1869
1852,1887,1925,1907,1873
1855,1923,1907,1926,1919
1914,1952,1947,1992,1969
1892,1942,2227,2164,2009
1947,1957,1953,1981,1953
1917,1976,1975,1957,1967
1940,1971,2038,2026,2020
1945,2002,2020,2003,2018
1975,2032,2019,2047,2024
2025,2095,2295,2178,2296
2037,2081,2105,2137,2096
2166,2085,2121,2086,2155
2040,2121,2119,2102,2101
2052,2139,2128,2183,2206
2154,2167,2154,2124,2301
2298,2231,2289,2238,2175
2170,2197,2213,2192,2201
2151,2227,2200,2184,2248
2160,2211,2202,2257,2239
2197,2212,2253,2233,2231
2233,2470,2386,2377,2412
2315,2381,2426,2443,2407
2366,2398,2419,2424,2500
2404,2486,2394,2378,2356
2470,2402,2357,2391,2365
2335,2660,2531,2467,2660
2403,2382,2425,2439,2377
