2,0,1,1,2,2
3,0,1,1,2,2
4,0,1,1,3,3
4,0,1,1,2,4
5,1,1,2,3,4
6,0,2,3,3,5
7,1,2,3,4,6
8,1,2,3,5,7
9,1,2,3,5,7
9,1,2,4,5,8
11,1,2,4,6,9
12,2,3,5,7,10
13,2,3,5,7,12
15,2,3,5,8,12
15,2,4,6,9,13
17,2,4,7,10,14
18,2,4,7,10,15
20,2,5,8,11,16
21,2,5,8,12,17
22,2,5,8,13,19
24,3,6,9,13,20
27,3,6,10,14,21
28,3,6,11,16,23
29,3,6,12,17,24
31,3,7,12,18,26
32,4,7,12,18,27
34,4,7,13,19,28
38,4,8,14,21,30
41,4,8,15,22,31
40,4,9,16,23,33
43,5,10,17,24,35
45,5,10,17,25,36
47,5,10,18,27,39
50,5,10,19,28,41
52,5,11,19,29,42
54,6,12,21,30,44
57,6,13,22,31,46
59,6,13,22,34,48
62,6,13,24,35,50
64,7,14,24,36,52
67,6,15,25,38,55
70,7,15,26,39,56
72,8,15,28,41,59
75,8,16,28,43,62
78,7,17,30,44,64
81,9,17,31,47,66
84,9,18,32,47,68
87,9,19,33,49,71
89,9,19,34,51,73
92,9,21,35,52,75
96,9,21,37,54,79
100,10,22,38,56,81
102,11,23,39,58,84
106,10,23,40,60,87
109,11,24,42,61,90
113,12,25,44,64,94
119,12,25,44,65,95
121,13,26,46,67,97
124,12,27,47,69,101
127,12,28,48,71,104
130,13,29,50,73,107
135,14,29,52,76,109
139,14,30,54,79,115
142,16,32,54,81,116
146,15,32,55,83,119
150,15,33,57,85,122
153,16,35,59,87,125
158,16,35,60,89,129
162,16,35,62,92,138
166,17,36,64,94,137
175,19,38,68,102,157
186,18,39,69,103,144
181,20,42,70,104,155
190,18,41,71,107,153
193,21,44,77,113,154
193,20,42,74,111,159
201,20,44,74,117,162
203,21,44,77,113,165
207,21,45,79,119,170
216,21,46,80,119,173
216,22,47,82,124,176
232,24,52,85,134,193
231,22,49,87,134,191
233,24,51,90,134,192
238,24,52,89,135,200
246,25,56,92,141,198
249,26,53,94,142,207
251,25,55,96,145,207
262,26,56,100,153,217
263,27,57,99,149,215
271,27,59,102,155,224
281,28,60,103,158,231
282,29,62,106,161,229
286,29,63,108,161,233
289,30,63,109,165,238
294,30,65,112,169,242
298,30,65,114,172,246
305,31,67,115,175,253
312,31,68,119,179,257
321,32,70,121,183,263
322,33,72,123,186,267
328,33,72,126,188,273
333,33,73,127,192,279
340,35,74,130,196,284
347,36,76,132,201,290
355,35,77,133,203,293
362,37,78,137,205,299
367,37,79,139,214,304
372,38,81,141,215,310
377,38,82,143,218,316
384,39,85,149,223,323
390,41,85,150,227,340
402,41,87,153,233,335
417,41,88,154,236,346
410,41,90,157,238,346
423,43,96,167,243,350
438,43,93,163,255,359
432,44,99,165,258,367
444,44,95,168,257,375
454,46,98,173,270,386
458,47,104,177,269,394
466,48,105,188,287,409
474,48,102,183,278,405
482,51,103,185,284,409
481,49,107,185,285,420
491,51,109,187,288,430
510,51,110,190,296,430
516,52,111,196,300,429
515,52,113,198,300,437
519,53,112,204,304,443
539,54,116,206,318,457
539,54,117,209,319,462
550,56,120,213,331,471
557,56,123,215,327,477
560,56,120,213,330,485
570,58,123,221,335,494
573,57,126,221,341,498
590,59,128,225,348,495
589,60,127,230,346,508
592,62,129,231,365,526
611,62,133,235,359,520
610,62,132,234,362,526
619,62,134,238,366,537
624,63,135,242,377,551
650,65,137,244,375,563
647,66,141,249,380,562
660,67,143,253,392,573
665,68,145,259,399,587
676,70,153,265,408,611
694,71,149,270,416,604
682,69,151,264,409,596
692,72,157,269,413,607
705,70,151,271,413,613
711,72,153,273,425,625
719,73,156,279,433,630
727,74,158,280,431,643
734,74,160,286,453,649
768,76,165,295,446,649
768,76,168,293,448,662
768,77,165,298,457,694
778,78,168,299,458,684
780,80,171,302,463,684
788,80,174,305,467,688
799,82,174,310,476,701
804,81,175,312,478,709
818,83,179,315,486,719
825,83,180,325,490,727
844,84,182,323,495,737
846,86,184,332,502,758
893,87,186,333,538,768
883,90,192,339,521,769
888,92,204,355,532,782
896,89,193,343,530,786
903,91,194,348,546,798
908,94,196,353,548,825
932,92,202,358,554,824
920,93,204,357,588,816
938,98,217,365,557,830
944,95,204,365,570,836
958,97,210,381,575,850
966,96,211,378,580,859
975,100,211,376,584,870
994,101,216,380,592,886
998,101,218,385,603,908
1024,105,220,398,614,937
1045,108,236,410,632,946
1073,107,225,420,640,963
1087,110,240,419,638,952
1068,107,231,416,639,960
1078,109,236,416,637,956
1069,108,231,415,642,968
1085,110,236,419,645,967
1102,109,235,424,652,990
1117,113,243,428,662,994
1120,115,249,441,666,1002
1128,114,245,436,674,1022
1136,116,245,438,677,1019
1152,118,251,442,693,1030
1158,117,253,451,693,1068
1212,123,261,455,717,1087
1212,124,265,473,719,1087
1220,121,266,464,722,1068
1205,121,263,465,724,1083
1235,125,266,473,732,1086
1221,123,266,474,728,1094
1238,125,271,483,742,1109
1248,125,271,479,747,1129
1289,130,277,498,759,1136
1277,128,278,495,766,1150
1291,137,278,500,772,1180
1329,136,288,510,792,1180
1308,132,293,530,805,1189
1348,133,287,509,789,1185
1339,132,290,549,841,1238
1360,134,293,530,822,1253
1394,138,300,530,826,1231
1373,141,301,531,823,1255
1411,142,305,538,832,1273
1416,143,304,543,851,1271
1457,144,304,547,848,1314
1450,145,315,557,858,1302
1458,147,317,558,866,1309
1458,145,316,578,889,1333
1503,151,324,570,893,1347
1480,147,323,572,885,1334
1507,154,322,574,906,1360
1498,151,324,573,885,1352
