0,1,1,2,2
1,1,1,2,3
0,1,2,2,3
1,1,2,3,3
1,1,2,3,5
1,1,2,4,5
1,1,3,4,6
1,1,3,5,7
1,2,4,5,8
1,2,4,6,8
1,2,5,6,9
1,3,4,7,10
1,3,5,8,10
1,3,6,8,12
1,4,6,9,12
2,4,6,10,14
2,4,7,10,15
2,5,7,12,17
2,5,9,12,17
2,5,9,13,18
3,5,10,13,20
3,6,10,14,21
3,6,10,16,22
3,7,11,16,23
4,7,12,17,26
3,7,13,18,27
4,8,13,20,29
4,8,14,20,31
4,9,15,22,32
4,9,16,23,33
5,9,17,24,35
4,10,18,25,38
5,11,19,29,39
5,11,19,29,40
6,11,20,30,43
5,13,21,31,45
5,13,22,32,47
6,13,23,35,48
6,14,24,35,50
7,15,24,37,52
7,15,26,38,55
7,15,27,39,56
8,16,28,41,58
8,16,28,43,60
8,17,30,44,63
8,18,31,46,65
9,18,32,47,68
9,19,33,49,71
9,19,35,51,76
9,21,36,55,78
10,21,37,55,83
10,22,38,56,81
10,23,39,58,85
11,25,43,62,90
13,24,42,62,89
12,24,43,65,93
12,26,44,66,94
12,26,46,68,96
12,27,47,70,102
12,28,52,78,104
13,29,50,74,107
14,32,51,78,113
15,30,60,78,112
15,31,54,81,118
16,33,57,84,120
15,33,57,85,124
16,34,59,87,125
17,34,61,89,129
17,35,63,94,133
18,40,68,94,139
17,38,65,97,139
18,39,67,100,143
18,42,69,102,147
20,40,71,106,151
20,43,72,108,153
20,43,74,110,157
20,45,77,112,162
21,44,77,119,169
22,46,79,118,173
22,48,81,121,173
23,48,86,126,179
23,49,87,129,183
24,50,87,129,183
24,52,89,131,189
24,53,91,134,192
25,54,93,137,198
26,56,96,153,202
27,57,97,143,204
27,58,101,145,209
28,65,102,148,213
29,62,106,156,223
30,69,106,157,227
30,63,110,161,228
30,65,110,161,233
31,68,113,166,238
32,69,117,171,243
33,69,119,174,250
34,71,121,176,250
34,73,124,179,264
34,74,125,184,264
35,76,128,187,268
40,79,137,197,274
37,79,134,195,280
38,81,138,198,282
39,82,144,201,290
39,85,149,208,296
40,85,145,212,300
41,87,146,218,309
43,90,151,217,317
43,91,156,221,329
44,92,161,232,320
44,94,166,235,332
46,96,163,234,333
50,98,163,238,345
47,100,167,241,346
48,100,168,247,351
49,104,172,254,363
52,107,178,256,364
51,108,177,258,370
52,110,181,268,380
53,110,187,277,379
53,113,190,279,395
57,117,194,276,394
56,115,195,279,405
60,126,211,291,418
61,125,198,290,421
59,122,204,297,421
59,124,208,300,427
60,125,210,308,437
62,128,217,312,442
63,141,220,318,453
68,140,228,320,454
65,135,230,349,470
65,138,229,333,469
70,145,230,336,479
68,142,240,343,486
69,142,237,342,491
71,147,242,351,498
70,146,244,353,507
72,153,249,359,512
73,152,250,369,527
74,154,255,373,527
76,155,265,376,538
77,160,265,381,548
77,160,267,384,548
78,163,269,390,560
79,164,273,394,559
81,169,276,404,581
82,169,282,405,576
83,171,285,413,587
85,174,290,422,602
86,176,292,422,607
87,180,297,431,612
88,183,313,441,640
90,184,304,441,626
91,186,307,445,636
91,193,314,457,650
93,194,317,463,655
96,197,323,474,667
96,196,329,471,673
97,199,327,477,678
98,203,334,485,681
99,207,344,502,697
100,206,341,492,716
106,216,357,520,739
105,221,364,520,744
106,224,366,528,761
110,222,368,549,774
111,228,378,555,770
109,230,378,549,780
111,228,375,550,781
111,231,379,561,786
114,240,382,556,789
115,232,385,558,789
116,236,390,567,798
119,239,394,569,808
118,247,413,590,824
122,255,409,585,838
122,251,419,595,842
122,255,414,610,855
127,253,425,622,862
125,260,424,613,867
127,259,425,622,873
127,267,433,645,892
129,268,436,634,902
130,270,446,639,910
132,272,450,644,913
132,273,455,663,933
135,279,456,660,937
135,280,465,670,957
142,288,470,678,963
139,285,473,686,973
141,289,474,690,976
142,295,489,701,986
144,300,493,716,1017
149,307,509,743,1054
150,311,506,747,1077
158,316,527,753,1048
153,314,520,748,1056
153,316,524,750,1071
154,319,521,750,1064
157,321,527,755,1064
156,320,528,764,1080
157,324,532,772,1087
158,329,539,783,1110
160,334,545,813,1138
164,340,559,809,1159
163,337,563,804,1145
169,338,557,807,1140
166,343,566,811,1150
168,346,570,821,1167
169,349,575,831,1171
171,360,588,838,1193
174,357,586,855,1218
175,359,590,865,1233
176,366,623,878,1226
182,371,612,873,1251
182,370,609,876,1250
183,374,625,914,1276
185,383,628,911,1289
192,385,636,917,1296
186,385,635,916,1313
193,389,646,933,1307
191,391,648,941,1336
197,405,652,929,1315
195,410,666,950,1347
199,407,661,964,1373
200,406,666,957,1356
199,409,673,974,1371
200,412,676,976,1387
204,423,700,1007,1415
207,430,705,1025,1476
211,439,727,1029,1466
212,434,723,1034,1451
215,434,717,1027,1457
215,436,716,1035,1458
217,444,728,1041,1481
215,443,725,1061,1504
220,448,734,1052,1497
219,451,743,1067,1525
220,455,746,1073,1516
221,455,753,1084,1525
224,460,751,1091,1549
229,476,768,1115,1566
230,469,781,1128,1591
231,487,808,1163,1644
242,494,814,1190,1676
244,498,815,1183,1679
243,506,821,1160,1641
240,492,815,1174,1647
239,492,815,1184,1673
244,506,821,1191,1654
242,497,817,1173,1675
245,510,825,1195,1685
248,508,831,1193,1694
248,510,841,1213,1709
250,515,845,1222,1717
253,526,849,1233,1744
254,525,853,1232,1760
256,526,865,1253,1785
259,546,888,1261,1797
261,537,881,1277,1800
264,539,884,1291,1830
268,552,907,1325,1867
274,557,922,1331,1877
270,558,917,1326,1897
277,571,944,1358,1901
278,574,942,1353,1899
275,566,926,1343,1881
276,568,942,1349,1911
279,570,948,1354,1924
281,578,956,1372,1998
292,602,976,1388,1975
290,590,989,1391,1980
287,593,968,1392,1983
293,594,982,1407,1974
291,599,977,1409,1995
292,602,994,1430,2029
298,609,995,1442,2059
296,609,1010,1462,2037
299,616,1024,1490,2077
309,634,1030,1498,2118
311,636,1041,1519,2192
314,653,1087,1522,2155
315,653,1064,1548,2162
316,648,1058,1531,2152
314,647,1060,1532,2182
320,653,1071,1539,2177
318,657,1088,1546,2245
326,663,1075,1537,2186
323,666,1134,1581,2223
